id,name,wikipedia_url,occupation,birth_year,birth_month,birth_day,birth_hour,birth_minute,birth_location,unknown_time,sun_sign_sidereal,sun_sign_tropical,moon_sign_sidereal,moon_sign_tropical,rising_sign_sidereal,rising_sign_tropical,life_path_number,day_number,chinese_zodiac_animal,chinese_zodiac_element,page_views,created_at,updated_at,has_chart_data_json
1,Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,a German-born theoretical physicist best known for developing the theory of relativity,1879,3,14,,,"Ulm, Kingdom of Württemberg, German Empire",True,Pisces,Pisces,Ophiuchus,Sagittarius,,,33/6,5,Rabbit,Earth,,2025-12-10 07:21:59,2025-12-10 21:49:48,Yes
2,Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,a Polish and naturalised-French physicist and chemist who conducted pioneering research on radioacti,1867,11,7,,,"Warsaw, Congress Poland, Russian Empire",True,Libra,Scorpio,Aquarius,Pisces,,,4,7,Rabbit,Fire,,2025-12-10 07:21:59,2025-12-10 21:49:48,Yes
3,Leonardo da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,"active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect",1452,4,15,,,possibly Anchiano,True,Aries,Aries,Libra,Scorpio,,,22/4,6,Monkey,Water,,2025-12-10 07:21:59,2025-12-10 21:49:48,Yes
4,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare,{{hlist,1564,4,23,,,"Stratford-upon-Avon, Warwickshire, England",True,Aries,Taurus,Taurus,Gemini,,,7,5,Rat,Wood,,2025-12-10 07:21:59,2025-12-10 21:49:48,Yes
5,Dale Frail,https://en.wikipedia.org/wiki/Dale_Frail,,1961,1,1,,,Canada,True,Sagittarius,Capricorn,Gemini,Cancer,,,1,1,Rat,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
6,Shaherose Charania,https://en.wikipedia.org/wiki/Shaherose_Charania,,1901,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Taurus,,,4,1,Rat,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
7,Sat-Okh,https://en.wikipedia.org/wiki/Sat-Okh,,1920,4,15,,,Canada,True,Pisces,Aries,Aquarius,Pisces,,,22/4,6,Monkey,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
8,Peter Scheerer,https://en.wikipedia.org/wiki/Peter_Scheerer,,1973,12,16,,,Canada,True,Ophiuchus,Sagittarius,Leo,Virgo,,,3,7,Ox,Water,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
9,David G. Lowe,https://en.wikipedia.org/wiki/David_G._Lowe,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,,,4,1,Rabbit,Earth,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
10,Herb Sutter,https://en.wikipedia.org/wiki/Herb_Sutter,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,,,4,1,Rabbit,Earth,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
11,Rene Ohashi,https://en.wikipedia.org/wiki/Rene_Ohashi,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,,,4,1,Rabbit,Earth,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
12,Martin Wood,https://en.wikipedia.org/wiki/Martin_Wood,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,,,4,1,Rabbit,Earth,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
13,Matt Keith,https://en.wikipedia.org/wiki/Matt_Keith,,1983,4,11,,,Canada,True,Pisces,Aries,Pisces,Pisces,,,9,2,Pig,Water,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
14,Kate Vernon,https://en.wikipedia.org/wiki/Kate_Vernon,,1961,4,21,,,Canada,True,Aries,Taurus,Gemini,Cancer,,,6,3,Ox,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
15,Roxanne Kernohan,https://en.wikipedia.org/wiki/Roxanne_Kernohan,,1960,3,20,,,Canada,True,Pisces,Pisces,Sagittarius,Capricorn,,,3,2,Rat,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
16,Barry Pederson,https://en.wikipedia.org/wiki/Barry_Pederson,,1961,3,13,,,Canada,True,Pisces,Pisces,Capricorn,Aquarius,,,6,4,Ox,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
17,Reuben Epp,https://en.wikipedia.org/wiki/Reuben_Epp,,1920,1,1,,,Canada,True,Sagittarius,Capricorn,Aries,Taurus,,,5,1,Goat,Earth,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
18,Wendy McElroy,https://en.wikipedia.org/wiki/Wendy_McElroy,,1951,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Libra,,,9,1,Tiger,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
19,Terri Tatchell,https://en.wikipedia.org/wiki/Terri_Tatchell,,1978,1,1,,,Canada,True,Sagittarius,Capricorn,Virgo,Virgo,,,9,1,Snake,Fire,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
20,Keri Smith,https://en.wikipedia.org/wiki/Keri_Smith,,1973,1,1,,,Canada,True,Sagittarius,Capricorn,Scorpio,Sagittarius,,,22/4,1,Rat,Water,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
21,Lucy Walker,https://en.wikipedia.org/wiki/Lucy_Walker,,1836,1,1,,,Canada,True,Sagittarius,Capricorn,Taurus,Gemini,,,2,1,Goat,Wood,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
22,Makyla Smith,https://en.wikipedia.org/wiki/Makyla_Smith,,1982,1,1,,,Canada,True,Sagittarius,Capricorn,Pisces,Pisces,,,22/4,1,Rooster,Metal,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
23,Andreas Apergis,https://en.wikipedia.org/wiki/Andreas_Apergis,,2000,1,1,,,Canada,True,Sagittarius,Capricorn,Libra,Scorpio,,,4,1,Rabbit,Earth,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
24,Rob Pike,https://en.wikipedia.org/wiki/Rob_Pike,,1956,1,1,,,Canada,True,Sagittarius,Capricorn,Leo,Leo,,,5,1,Goat,Wood,,2025-12-10 19:08:48,2025-12-10 22:03:46,Yes
